symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-10-05 00:00:00+00:00,88.53,90.27,88.35,90.17,762262,42.5155743397,43.3511905077,42.4291312878,43.30316659,1524524,0.0,1.0
HDB,2018-10-08 00:00:00+00:00,88.86,89.13,88.1,88.29,648229,42.6740532681,42.8037178459,42.3090714936,42.4003169372,1296458,0.0,1.0
HDB,2018-10-09 00:00:00+00:00,87.84,88.88,87.73,88.39,832616,42.1842093076,42.6836580517,42.1313829981,42.4483408549,1665232,0.0,1.0
HDB,2018-10-10 00:00:00+00:00,86.51,89.24,86.51,88.8,1542556,41.5454912022,42.8565441554,41.5454912022,42.6452389175,3085112,0.0,1.0
HDB,2018-10-11 00:00:00+00:00,86.17,88.06,85.43,86.71,1436253,41.382209882,42.2898619265,41.026832891,41.6415390376,2872506,0.0,1.0
HDB,2018-10-12 00:00:00+00:00,89.49,89.68,88.43,88.64,1220332,42.9766039496,43.0678493932,42.467550422,42.5684006492,2440664,0.0,1.0
HDB,2018-10-15 00:00:00+00:00,89.95,90.93,89.28,89.81,689257,43.197513971,43.6681483645,42.8757537225,43.1302804863,1378514,0.0,1.0
HDB,2018-10-16 00:00:00+00:00,90.7,91.09,90.33,90.34,571085,43.5576933538,43.7449866328,43.3800048583,43.3848072501,1142170,0.0,1.0
HDB,2018-10-17 00:00:00+00:00,88.14,89.89,87.46,89.89,900335,42.3282810607,43.1686996204,42.0017184203,43.1686996204,1800670,0.0,1.0
HDB,2018-10-18 00:00:00+00:00,87.38,88.15,87.23,87.83,613563,41.9632992862,42.3330834524,41.8912634096,42.1794069158,1227126,0.0,1.0
HDB,2018-10-19 00:00:00+00:00,87.55,88.94,87.31,88.54,779929,42.0449399462,42.7124724023,41.9296825438,42.5203767315,1559858,0.0,1.0
HDB,2018-10-22 00:00:00+00:00,88.87,89.73,88.46,88.88,497514,42.6788556599,43.0918613521,42.4819575973,42.6836580517,995028,0.0,1.0
HDB,2018-10-23 00:00:00+00:00,91.68,91.98,87.63,88.23,1571593,44.0283277472,44.1723995003,42.0833590804,42.3715025866,3143186,0.0,1.0
